collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,18,4,14,15.5%,25.0%,14.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,25.0%,35.7%,88.9%,50.0%,100.0%
lvnv funding llc,14,3,11,12.1%,18.8%,11.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,42.9%,0.0%,54.5%,78.6%,0.0%,100.0%
portfolio recovery associates llc,12,1,11,10.3%,6.3%,11.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,25.0%,0.0%,27.3%,100.0%,100.0%,100.0%
wakefield & associates inc,8,1,7,6.9%,6.3%,7.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,42.9%,100.0%,100.0%,100.0%
midwestern health management inc,7,0,7,6.0%,0.0%,7.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,28.6%,0%,28.6%,100.0%,0%,100.0%
carroll county memorial hospital,6,2,4,5.2%,12.5%,4.0%,0,0,0,0%,0%,0%,16.7%,0.0%,25.0%,16.7%,0.0%,25.0%,66.7%,0.0%,100.0%
bank of america na,4,0,4,3.4%,0.0%,4.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
cavalry spv i llc,4,1,3,3.4%,6.3%,3.0%,0,0,0,0%,0%,0%,25.0%,0.0%,33.3%,25.0%,0.0%,33.3%,100.0%,100.0%,100.0%
credit bureau of columbia inc,4,0,4,3.4%,0.0%,4.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,25.0%,0%,25.0%,100.0%,0%,100.0%
cash link usa llc,3,0,3,2.6%,0.0%,3.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,66.7%,0%,66.7%,100.0%,0%,100.0%
midland funding llc - 50265,3,1,2,2.6%,6.3%,2.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%,66.7%,0.0%,100.0%
madison medical center,2,0,2,1.7%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
midland funding llc,2,0,2,1.7%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
phoenix urology of st. joseph inc,2,0,2,1.7%,0.0%,2.0%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
