collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
first portfolio ventures i llc,2,0,2,0.1%,0.0%,0.1%,1462,0,1462,0.4%,0%,0.4%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
galaxy international purchasingllc,2,2,0,0.1%,0.3%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,50.0%,50.0%,0%,100.0%,100.0%,0%
yankee oil inc,2,1,1,0.1%,0.1%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
cach llc,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jhpde finance 1 llc assignee of citibank na,2,0,2,0.1%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
unifund corporatio,1,0,1,0.0%,0.0%,0.1%,2120,0,2120,0.5%,0%,0.5%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
rent a center,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
galaxy international purchasing llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
jhpde finance 1 llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
jhpde finance 1 llc assignee of synchrony bank,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
td bank usa na,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
connecticut distributors inc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
bureaus investment group portfolio no. 15 llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
utility trailers of new england,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
chace building supply,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
portrolio recovery associates llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
pca acquisitions v llc assignee of synchrony bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
jefferson capital systems ll,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
midland funding llc assignee of citibank na,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
the leader store,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
td bank usa n a,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
the w.i. clark company,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
uncas gas,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
anthony j. grasso,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
levine distributing company inc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
uhg i llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
second round sub llc successor in interest to synchrony bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
credit corp solutions inc assignee of mid america,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
icon equities llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
crown asset management llc assignee of webbank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
credit corp solutions inc assignee of citibank na,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
lvnv fundign llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
cvi sgp acquisition trust assignee of sterling jewelers inc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
. portfolio recovery associates llc,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
pca acquisitions v llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
lvnv fundin llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
star distributors inc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
waterside financial inc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
levine distributing company llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
michel grenier,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
webcollex llc dba cks financial assignee of sterling jewelers,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
cach llc assignee of bank of america na,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit management corporation assignee of dnf associates llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,100.0%,100.0%,0%,100.0%,100.0%,0%
vnv funding llc,1,1,0,0.0%,0.1%,0.0%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
second round lp successor in interest to synchrony bank,1,0,1,0.0%,0.0%,0.1%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
