collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,32,4,28,26.0%,18.2%,27.7%,0,0,0,0.0%,0.0%,0.0%,15.6%,0.0%,17.9%,21.9%,0.0%,25.0%,93.8%,75.0%,96.4%
WAKEFIELD & ASSOCIATES INC,19,1,18,15.4%,4.5%,17.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.8%,100.0%,33.3%,94.7%,100.0%,94.4%
MIDLAND CREDIT MANAGEMENT INC,16,3,13,13.0%,13.6%,12.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,31.3%,0.0%,38.5%,93.8%,66.7%,100.0%
LVNV FUNDING LLC,15,7,8,12.2%,31.8%,7.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,14.3%,62.5%,80.0%,57.1%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,7,0,7,5.7%,0.0%,6.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,0.0%,85.7%
MIDLAND FUNDING LLC,5,0,5,4.1%,0.0%,5.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,20.0%,80.0%,0.0%,80.0%
RAY COUNTY MEMORIAL HOSPITAL,5,1,4,4.1%,4.5%,4.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,100.0%,50.0%,100.0%,100.0%,100.0%
CAPITAL ONE BANK (USA) NA,4,0,4,3.3%,0.0%,4.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MIDLAND FUNDING LLC - 50265,3,0,3,2.4%,0.0%,3.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,66.7%,0.0%,66.7%
CITIBANK NA,2,0,2,1.6%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
TD BANK USA NA,2,0,2,1.6%,0.0%,2.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
CAVALRY SPV I LLC,2,1,1,1.6%,4.5%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
CAPITAL ONE BANK NA,1,0,1,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MM FINANCE LLC,1,0,1,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
CLEAR RECOVERY INC,1,0,1,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
VELOCITY INVESTMENTS LLC,1,1,0,0.8%,4.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
RENFRO VETERINARY SERVICES INC,1,1,0,0.8%,4.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
NORTHWEST HOSPITAL LLC,1,1,0,0.8%,4.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
ANDY'S LAWN AND LANDSCAPE LLC,1,0,1,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,1,0,1,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
BANK OF AMERICA NA,1,0,1,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%
CASH LINK USA,1,1,0,0.8%,4.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%
SEXTONBENDERMAHER HILL & STEINMAN PC,1,1,0,0.8%,4.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
