collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,22,19,3,14.4%,20.9%,4.8%,2395,2395,0,1.0%,1.8%,0.0%,4.5%,5.3%,0.0%,0.0%,0.0%,0.0%,9.1%,10.5%,0.0%
MIDLAND CREDIT MANAGEMENT INC,18,12,6,11.8%,13.2%,9.7%,4600,3516,1084,2.0%,2.7%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,8.3%,16.7%
PORTFOLIO RECOVERY ASSOCIATES LLC,11,5,6,7.2%,5.5%,9.7%,4181,0,4181,1.8%,0.0%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.4%,40.0%,33.3%
CAPITAL ONE BANK (USA) NA,11,10,1,7.2%,11.0%,1.6%,20198,20198,0,8.7%,15.5%,0.0%,9.1%,10.0%,0.0%,0.0%,0.0%,0.0%,18.2%,20.0%,0.0%
CRANE CREDIT UNION,9,3,6,5.9%,3.3%,9.7%,69172,55954,13218,29.9%,42.8%,13.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%
PROFESSIONAL & BUSINESS COLLECTIONS LLC,7,6,1,4.6%,6.6%,1.6%,25484,25484,0,11.0%,19.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,50.0%,100.0%
HOOSIER ACCOUNTS SERVICE,6,2,4,3.9%,2.2%,6.5%,16445,0,16445,7.1%,0.0%,16.4%,16.7%,0.0%,25.0%,0.0%,0.0%,0.0%,16.7%,0.0%,25.0%
DISCOVER BANK,6,6,0,3.9%,6.6%,0.0%,7389,7389,0,3.2%,5.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CAVALRY SPV I LLC,5,3,2,3.3%,3.3%,3.2%,4876,1412,3464,2.1%,1.1%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,33.3%,50.0%
JEFFERSON CAPITAL SYSTEMS LLC,5,1,4,3.3%,1.1%,6.5%,3996,0,3996,1.7%,0.0%,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,100.0%,50.0%
UNIFUND CCR LLC,4,0,4,2.6%,0.0%,6.5%,688,0,688,0.3%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CROWN ASSET MANAGEMENT LLC,4,2,2,2.6%,2.2%,3.2%,8552,7681,870,3.7%,5.9%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,50.0%,100.0%
MARINER FINANCE LLC SUCCESSOR IN IN,3,0,3,2.0%,0.0%,4.8%,5941,0,5941,2.6%,0.0%,5.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
SAC FINANCE INC,3,2,1,2.0%,2.2%,1.6%,10895,0,10895,4.7%,0.0%,10.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
TD BANK USA NA,3,3,0,2.0%,3.3%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
RENT TO OWN RENTALS LLC,2,1,1,1.3%,1.1%,1.6%,13655,0,13655,5.9%,0.0%,13.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
DISCOVER BANK C/O DISCOVER PRODUCTS,2,0,2,1.3%,0.0%,3.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
THE MORRIS PLAN COMPANY OF TERRE HAUTE INC,2,1,1,1.3%,1.1%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
MIDLAND FUNDING LLC,2,0,2,1.3%,0.0%,3.2%,953,0,953,0.4%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
ONEMAIN FINANCIAL GROUP LLC,2,1,1,1.3%,1.1%,1.6%,11182,0,11182,4.8%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
CREDITONE LLC,2,2,0,1.3%,2.2%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
EAGLE FINANCE COMPANY,1,0,1,0.7%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FIRST FEDERAL SAVINGS BANK,1,0,1,0.7%,0.0%,1.6%,1329,0,1329,0.6%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MARINER FINANCE LLC SUCCESSOR IN INTEREST TO PERSONAL FINANCE COMPANY LLC,1,0,1,0.7%,0.0%,1.6%,1624,0,1624,0.7%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
FARM BUREAU BANK,1,0,1,0.7%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
SUMITOMO MITSUI FINANCE AND LEASING,1,0,1,0.7%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
PROFESSIONAL & BUSINESS COLLECTIONS,1,0,1,0.7%,0.0%,1.6%,10894,0,10894,4.7%,0.0%,10.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
