collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
PORTFOLIO RECOVERY ASSOCIATES LLC,158,8,150,19.3%,6.7%,21.5%,0,0,0,0.0%,0.0%,0.0%,6.3%,12.5%,6.0%,30.4%,25.0%,30.7%,96.8%,75.0%,98.0%
LVNV FUNDING LLC,147,42,105,18.0%,35.0%,15.1%,0,0,0,0.0%,0.0%,0.0%,3.4%,2.4%,3.8%,42.9%,38.1%,44.8%,81.0%,71.4%,84.8%
MIDLAND CREDIT MANAGEMENT INC,99,16,83,12.1%,13.3%,11.9%,0,0,0,0.0%,0.0%,0.0%,5.1%,18.8%,2.4%,44.4%,37.5%,45.8%,85.9%,87.5%,85.5%
CAVALRY SPV I LLC,60,6,54,7.3%,5.0%,7.7%,0,0,0,0.0%,0.0%,0.0%,6.7%,0.0%,7.4%,38.3%,33.3%,38.9%,86.7%,50.0%,90.7%
CAPITAL ONE BANK (USA) NA,28,0,28,3.4%,0.0%,4.0%,0,0,0,0.0%,0.0%,0.0%,3.6%,0.0%,3.6%,21.4%,0.0%,21.4%,92.9%,0.0%,92.9%
MIDLAND FUNDING LLC,27,5,22,3.3%,4.2%,3.2%,0,0,0,0.0%,0.0%,0.0%,7.4%,20.0%,4.5%,33.3%,40.0%,31.8%,92.6%,60.0%,100.0%
MIDLAND CREDIT MGT INC,22,0,22,2.7%,0.0%,3.2%,0,0,0,0.0%,0.0%,0.0%,9.1%,0.0%,9.1%,59.1%,0.0%,59.1%,95.5%,0.0%,95.5%
PORTFOLIO RECOVERY,19,4,15,2.3%,3.3%,2.2%,0,0,0,0.0%,0.0%,0.0%,10.5%,25.0%,6.7%,42.1%,25.0%,46.7%,100.0%,100.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,17,7,10,2.1%,5.8%,1.4%,0,0,0,0.0%,0.0%,0.0%,5.9%,14.3%,0.0%,47.1%,42.9%,50.0%,82.4%,71.4%,90.0%
BANK OF AMERICA,16,4,12,2.0%,3.3%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,25.0%,58.3%,87.5%,50.0%,100.0%
LESTER E COX MEDICAL CENTERS,15,0,15,1.8%,0.0%,2.2%,0,0,0,0.0%,0.0%,0.0%,6.7%,0.0%,6.7%,33.3%,0.0%,33.3%,93.3%,0.0%,93.3%
BANK OF AMERICA NA,15,0,15,1.8%,0.0%,2.2%,0,0,0,0.0%,0.0%,0.0%,6.7%,0.0%,6.7%,26.7%,0.0%,26.7%,93.3%,0.0%,93.3%
CITIBANK NA,15,4,11,1.8%,3.3%,1.6%,0,0,0,0.0%,0.0%,0.0%,13.3%,50.0%,0.0%,26.7%,25.0%,27.3%,80.0%,100.0%,72.7%
VELOCITY INVESTMENTS LLC,9,0,9,1.1%,0.0%,1.3%,0,0,0,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,22.2%,0.0%,22.2%,88.9%,0.0%,88.9%
TD BANK USA NA,9,6,3,1.1%,5.0%,0.4%,0,0,0,0.0%,0.0%,0.0%,11.1%,16.7%,0.0%,33.3%,16.7%,66.7%,100.0%,100.0%,100.0%
WAKEFIELD & ASSOCIATES INC,8,0,8,1.0%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,12.5%,0.0%,12.5%,25.0%,0.0%,25.0%,100.0%,0.0%,100.0%
J.P. MORGAN CHASE NATIONAL,8,1,7,1.0%,0.8%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,14.3%,75.0%,0.0%,85.7%
JP MORGAN CHASE BANK NA,7,1,6,0.9%,0.8%,0.9%,0,0,0,0.0%,0.0%,0.0%,14.3%,100.0%,0.0%,14.3%,0.0%,16.7%,85.7%,0.0%,100.0%
CITIBANK,7,0,7,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
MIDLANDFUNDING LLC,7,0,7,0.9%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,85.7%,0.0%,85.7%
