collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
MIDWESTERN HEALTH MANAGEMENT INC,116,64,52,0.60,0.60,0.60,0,0,0,0.0,0.0,0.0,0.052,0.016,0.096,0.40,0.41,0.38,0.84,0.72,1.0
LVNV FUNDING LLC,26,21,5,0.13,0.20,0.057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.20,0.69,0.62,1.0
PORTFOLIO RECOVERY ASSOCIATES LLC,11,1,10,0.057,0.0093,0.11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.0,0.10,0.91,1.0,0.90
MIDLAND FUNDING LLC,7,2,5,0.036,0.019,0.057,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.80,0.71,0.0,1.0
HARRISON COUNTY COMMUNITY HOSPITAL,7,3,4,0.036,0.028,0.046,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.50,0.71,0.33,1.0
MIDLAND CREDIT MANAGEMENT INC-IA,4,2,2,0.021,0.019,0.023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.50,0.50,0.50,1.0,1.0,1.0
CAVALRY SPV I LLC,3,2,1,0.015,0.019,0.011,0,0,0,0.0,0.0,0.0,0.33,0.50,0.0,0.0,0.0,0.0,0.33,0.0,1.0
MIDLAND CREDIT MANAG,3,3,0,0.015,0.028,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
MM FINANCE LLC,2,0,2,0.010,0.0,0.023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
JPMORGAN CHASE BANK - CHICAGO IL,2,2,0,0.010,0.019,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
CITIBANK NA,2,2,0,0.010,0.019,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC,1,0,1,0.0052,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MIDWESTERN HEALTH MANAGEMENT INC PETITIONER,1,0,1,0.0052,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MIDLAND CREDIT MANAGEMENT INC,1,0,1,0.0052,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CREDIT BUREAU OF COLUMBIA INC,1,0,1,0.0052,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MERCURY SURGERY CENTER LLC,1,0,1,0.0052,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CLEAR RECOVERY INC,1,0,1,0.0052,0.0,0.011,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
CAVALRY SPV I LLC - ST LOUIS,1,1,0,0.0052,0.0093,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
HCCH MED GROUP,1,1,0,0.0052,0.0093,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVUS AG LLC,1,1,0,0.0052,0.0093,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
GFG INLAND ELEVATOR & GRAIN LLC,1,1,0,0.0052,0.0093,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
JHPDE FINANCE I LLC,1,1,0,0.0052,0.0093,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
