collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,119,27,92,21.4%,30.0%,19.8%,0,0,0,0.0%,0.0%,0.0%,4.2%,3.7%,4.3%,41.2%,33.3%,43.5%,86.6%,70.4%,91.3%
PORTFOLIO RECOVERY ASSOCIATES LLC,105,6,99,18.9%,6.7%,21.3%,2699,0,2699,100.0%,0.0%,100.0%,8.6%,16.7%,8.1%,30.5%,0.0%,32.3%,96.2%,100.0%,96.0%
MIDLAND CREDIT MANAGEMENT INC,94,18,76,16.9%,20.0%,16.3%,0,0,0,0.0%,0.0%,0.0%,4.3%,0.0%,5.3%,42.6%,33.3%,44.7%,89.4%,66.7%,94.7%
CAVALRY SPV I LLC,33,4,29,5.9%,4.4%,6.2%,0,0,0,0.0%,0.0%,0.0%,6.1%,0.0%,6.9%,39.4%,0.0%,44.8%,87.9%,50.0%,93.1%
MIDLAND FUNDING LLC,23,1,22,4.1%,1.1%,4.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,26.1%,0.0%,27.3%,82.6%,100.0%,81.8%
BANK OF AMERICA NA,23,2,21,4.1%,2.2%,4.5%,0,0,0,0.0%,0.0%,0.0%,13.0%,0.0%,14.3%,21.7%,50.0%,19.0%,100.0%,100.0%,100.0%
CITIBANK NA,18,3,15,3.2%,3.3%,3.2%,0,0,0,0.0%,0.0%,0.0%,11.1%,0.0%,13.3%,38.9%,66.7%,33.3%,94.4%,100.0%,93.3%
LESTER E COX MEDICAL CENTERS,12,0,12,2.2%,0.0%,2.6%,0,0,0,0.0%,0.0%,0.0%,8.3%,0.0%,8.3%,33.3%,0.0%,33.3%,91.7%,0.0%,91.7%
WAKEFIELD & ASSOCIATES INC,11,2,9,2.0%,2.2%,1.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.2%,50.0%,11.1%,100.0%,100.0%,100.0%
JEFFERSON CAPITAL SYSTEMS LLC,10,2,8,1.8%,2.2%,1.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,50.0%,90.0%,100.0%,87.5%
JP MORGAN CHASE BANK NA,7,0,7,1.3%,0.0%,1.5%,0,0,0,0.0%,0.0%,0.0%,14.3%,0.0%,14.3%,14.3%,0.0%,14.3%,71.4%,0.0%,71.4%
JPMORGAN CHASE BANK NA,7,2,5,1.3%,2.2%,1.1%,0,0,0,0.0%,0.0%,0.0%,42.9%,100.0%,20.0%,0.0%,0.0%,0.0%,71.4%,50.0%,80.0%
ONEMAIN FINANCIAL GROUP LLC,7,1,6,1.3%,1.1%,1.3%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,50.0%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC A CORPORATION,6,5,1,1.1%,5.6%,0.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,40.0%,100.0%,100.0%,100.0%,100.0%
CAPITAL ONE BANK (USA) NA,5,0,5,0.9%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
TD BANK USA NA,5,3,2,0.9%,3.3%,0.4%,0,0,0,0.0%,0.0%,0.0%,20.0%,33.3%,0.0%,20.0%,0.0%,50.0%,80.0%,66.7%,100.0%
MM FINANCE LLC,5,1,4,0.9%,1.1%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,100.0%,25.0%,100.0%,100.0%,100.0%
FREEMAN HEALTH SYSTEM,4,0,4,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,25.0%,100.0%,0.0%,100.0%
BARCLAYS BANK DELAWARE,4,0,4,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,75.0%,0.0%,75.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,4,0,4,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,25.0%,0.0%,25.0%,25.0%,0.0%,25.0%,100.0%,0.0%,100.0%
FREEMAN HEALTH SYSTEMS,3,1,2,0.5%,1.1%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,50.0%,100.0%,100.0%,100.0%
CASH LINK USA LLC,3,0,3,0.5%,0.0%,0.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%
