collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
FREEMAN NEOSHO HOSPITAL,263,40,223,21.4%,18.9%,21.9%,0,0,0,0.0%,0.0%,0.0%,3.8%,2.5%,4.0%,42.6%,37.5%,43.5%,93.5%,85.0%,95.1%
FREEMAN HEALTH SYSTEM,237,58,179,19.3%,27.4%,17.6%,0,0,0,0.0%,0.0%,0.0%,5.5%,6.9%,5.0%,30.4%,27.6%,31.3%,80.6%,56.9%,88.3%
FREEMAN HEALTH SYSTEMS,149,7,142,12.1%,3.3%,14.0%,0,0,0,0.0%,0.0%,0.0%,1.3%,0.0%,1.4%,49.7%,28.6%,50.7%,100.0%,100.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,119,24,95,9.7%,11.3%,9.4%,0,0,0,0.0%,0.0%,0.0%,9.2%,8.3%,9.5%,33.6%,25.0%,35.8%,87.4%,79.2%,89.5%
PORTFOLIO RECOVERY ASSOCIATES LLC,114,10,104,9.3%,4.7%,10.2%,0,0,0,0.0%,0.0%,0.0%,9.6%,0.0%,10.6%,28.9%,10.0%,30.8%,96.5%,100.0%,96.2%
LVNV FUNDING LLC,105,37,68,8.6%,17.5%,6.7%,0,0,0,0.0%,0.0%,0.0%,2.9%,2.7%,2.9%,36.2%,37.8%,35.3%,88.6%,75.7%,95.6%
CAVALRY SPV I LLC,37,2,35,3.0%,0.9%,3.4%,0,0,0,0.0%,0.0%,0.0%,5.4%,0.0%,5.7%,35.1%,0.0%,37.1%,91.9%,100.0%,91.4%
MM FINANCE LLC,28,3,25,2.3%,1.4%,2.5%,0,0,0,0.0%,0.0%,0.0%,3.6%,0.0%,4.0%,53.6%,100.0%,48.0%,100.0%,100.0%,100.0%
CITIBANK NA,20,7,13,1.6%,3.3%,1.3%,0,0,0,0.0%,0.0%,0.0%,30.0%,14.3%,38.5%,10.0%,0.0%,15.4%,85.0%,100.0%,76.9%
MIDLAND FUNDING LLC,16,1,15,1.3%,0.5%,1.5%,0,0,0,0.0%,0.0%,0.0%,6.3%,0.0%,6.7%,25.0%,0.0%,26.7%,93.8%,0.0%,100.0%
BANK OF AMERICA NA,10,0,10,0.8%,0.0%,1.0%,0,0,0,0.0%,0.0%,0.0%,20.0%,0.0%,20.0%,30.0%,0.0%,30.0%,90.0%,0.0%,90.0%
CAPITAL ONE BANK (USA) NA,9,0,9,0.7%,0.0%,0.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,33.3%,100.0%,0.0%,100.0%
TD BANK USA NA,8,4,4,0.7%,1.9%,0.4%,0,0,0,0.0%,0.0%,0.0%,12.5%,0.0%,25.0%,37.5%,50.0%,25.0%,100.0%,100.0%,100.0%
